,Achieve [LocalsWarnedWhenRiskImminent],Avoid [FalseWarning],Achieve [DepthAcquiredEvery5SecondsByRadar],,,,Maintain [AcquiredRadarDepthAccurate],,,,Achieve [SpeedAcquiredEvery5SecondsByUltrasound],,,,Maintain [UltrasoundSpeedAccurate],,,,Achieve [LocalsWarnedByPhoneWhenLevelsCritical],,,,Achieve [LevelsCriticalDetectedWhenDataAcquired],Achieve [SpeedAcquiredEvery10SecondsByUltrasound],,,,Achieve [SpeedAcquiredEvery5SecondsByCamera],Achieve [ImagesAcquiredEvery5Seconds],Achieve [TracersIdentified],Achieve [SpeedAcquiredFromTracers],Maintain [CameraSpeedAccurate],Achieve [LocalsWarnedBySMSWhenLevelsCritical],,,,locals_warned_by_email,,,
timestamp,cps,cps,mean,lower,upper,cps,mean,lower,upper,cps,mean,lower,upper,cps,mean,lower,upper,cps,mean,lower,upper,cps,cps,mean,lower,upper,cps,cps,cps,cps,cps,cps,mean,lower,upper,cps,mean,lower,upper,cps
16:34:00.8224,0.6806,1.0000,0.7500,1.0000,0.4989,0.8750,0.3333,0.7797,0.0000,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,1.0000,0.2203,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:01.8262,0.6806,1.0000,0.7500,1.0000,0.4989,0.8750,0.2500,0.6051,0.0000,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,1.0000,0.2203,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:02.8275,0.7000,1.0000,0.8000,1.0000,0.5926,0.9000,0.2500,0.6051,0.0000,1.0000,0.6667,0.9244,0.4090,0.7778,0.5000,0.9100,0.0900,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:03.8276,0.7000,1.0000,0.8000,1.0000,0.5926,0.9000,0.2500,0.6051,0.0000,1.0000,0.6667,0.9244,0.4090,0.7778,0.6000,0.9593,0.2407,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:04.8276,0.7000,1.0000,0.8000,1.0000,0.5926,0.9000,0.2500,0.6051,0.0000,1.0000,0.6667,0.9244,0.4090,0.7778,0.6000,0.9593,0.2407,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:05.8297,0.7000,0.9474,0.8000,1.0000,0.5926,0.9000,0.2500,0.6051,0.0000,1.0000,0.6667,0.9244,0.4090,0.7778,0.6000,0.9593,0.2407,0.9231,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:06.8293,0.7000,0.9474,0.8000,1.0000,0.5926,0.9000,0.2500,0.6051,0.0000,1.0000,0.6667,0.9244,0.4090,0.7778,0.6000,0.9593,0.2407,0.9474,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:07.8314,0.7000,0.9474,0.8000,1.0000,0.5926,0.9000,0.5714,0.8782,0.2647,1.0000,0.6667,0.9244,0.4090,0.7778,0.6000,0.9593,0.2407,0.9474,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:08.8346,0.7000,0.9474,0.8000,1.0000,0.5926,0.9000,0.5714,0.8782,0.2647,1.0000,0.6667,0.9244,0.4090,0.7778,0.6000,0.9593,0.2407,0.9474,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:09.8383,0.7000,0.9545,0.8000,1.0000,0.5926,0.9000,0.5714,0.8782,0.2647,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,0.9823,0.3510,0.9474,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:10.8389,0.7000,0.9545,0.8000,1.0000,0.5926,0.9000,0.5714,0.8782,0.2647,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,0.9823,0.3510,0.9545,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:11.8413,0.7000,0.9545,0.8000,1.0000,0.5926,0.9000,0.5714,0.8782,0.2647,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,0.9823,0.3510,0.9545,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
16:34:12.8452,0.7071,0.9545,0.8182,1.0000,0.6275,0.9091,0.5714,0.8782,0.2647,1.0000,0.6667,0.9244,0.4090,0.7778,0.6667,0.9823,0.3510,0.9545,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
